Fecha,Demanda
2015-01-01,551814
2015-01-02,1538946
2015-01-03,1150162
2015-01-04,930805
2015-01-05,1651540
2015-01-06,592810
2015-01-07,1651108
2015-01-08,1827301
2015-01-09,1879090
2015-01-10,1145456
2015-01-11,783440
2015-01-12,1882716
2015-01-13,1893627
2015-01-14,1932888
2015-01-15,1974177
2015-01-16,1981317
2015-01-17,1139769
2015-01-18,731424
2015-01-19,1884907
2015-01-20,1904541
2015-01-21,1922739
2015-01-22,1924720
2015-01-23,1955571
2015-01-24,1105949
2015-01-25,765929
2015-01-26,1860529
2015-01-27,1891529
2015-01-28,1954836
2015-01-29,1972760
2015-01-30,1943467
2015-01-31,1270287
2015-02-01,820040
2015-02-02,1897772
2015-02-03,1942664
2015-02-04,1976085
2015-02-05,1978317
2015-02-06,1996054
2015-02-07,1123670
2015-02-08,789916
2015-02-09,1907876
2015-02-10,1967070
2015-02-11,1976167
2015-02-12,2006199
2015-02-13,1954183
2015-02-14,1224936
2015-02-15,813085
2015-02-16,1935536
2015-02-17,1970729
2015-02-18,2007186
2015-02-19,1999452
2015-02-20,2030249
2015-02-21,1139834
2015-02-22,791743
2015-02-23,1922406
2015-02-24,1971275
2015-02-25,1978455
2015-02-26,1996718
2015-02-27,2061668
2015-02-28,1178802
2015-03-01,874269
2015-03-02,1940005
2015-03-03,1989811
2015-03-04,2032560
2015-03-05,2034485
2015-03-06,2070666
2015-03-07,1171371
2015-03-08,850832
2015-03-09,1940951
2015-03-10,2024352
2015-03-11,2017285
2015-03-12,2029901
2015-03-13,2042462
2015-03-14,1171999
2015-03-15,830603
2015-03-16,1943988
2015-03-17,2009911
2015-03-18,2065380
2015-03-19,787515
2015-03-20,1852046
2015-03-21,1125402
2015-03-22,772184
2015-03-23,1961236
2015-03-24,1973216
2015-03-25,2027212
2015-03-26,2036899
2015-03-27,1860100
2015-03-28,1067890
2015-03-29,798520
2015-03-30,1522332
2015-03-31,1526976
2015-04-01,1437877
2015-04-02,778134
2015-04-03,765313
2015-04-04,844782
2015-04-05,782805
2015-04-06,1583837
2015-04-07,1965710
2015-04-08,1999779
2015-04-09,2023060
2015-04-10,2061002
2015-04-11,1188782
2015-04-12,833705
2015-04-13,1964628
2015-04-14,2041795
2015-04-15,2029459
2015-04-16,2032058
2015-04-17,2062434
2015-04-18,1219189
2015-04-19,848985
2015-04-20,1966119
2015-04-21,2005331
2015-04-22,2055017
2015-04-23,2065665
2015-04-24,2057846
2015-04-25,1211055
2015-04-26,870945
2015-04-27,1960289
2015-04-28,2004084
2015-04-29,2039637
2015-04-30,2104880
2015-05-01,882522
2015-05-02,971216
2015-05-03,778074
2015-05-04,1927429
2015-05-05,1984502
2015-05-06,2023313
2015-05-07,2036834
2015-05-08,2091030
2015-05-09,1245605
2015-05-10,926730
2015-05-11,1946744
2015-05-12,1992859
2015-05-13,2054193
2015-05-14,2046599
2015-05-15,1153412
2015-05-16,1075938
2015-05-17,826929
2015-05-18,1919889
2015-05-19,1977643
2015-05-20,1992768
2015-05-21,2011557
2015-05-22,2047054
2015-05-23,1151371
2015-05-24,807846
2015-05-25,1890765
2015-05-26,1952552
2015-05-27,1981834
2015-05-28,1989063
2015-05-29,2001712
2015-05-30,1148096
2015-05-31,878305
2015-06-01,1901754
2015-06-02,1970774
2015-06-03,2000050
2015-06-04,893542
2015-06-05,1731486
2015-06-06,1022632
2015-06-07,790182
2015-06-08,1857255
2015-06-09,1923424
2015-06-10,1923524
2015-06-11,1935614
2015-06-12,1956120
2015-06-13,1131283
2015-06-14,842338
2015-06-15,1852907
2015-06-16,1878837
2015-06-17,1889909
2015-06-18,1891290
2015-06-19,1874425
2015-06-20,1046127
2015-06-21,793807
2015-06-22,1797562
2015-06-23,1831014
2015-06-24,1831640
2015-06-25,1841553
2015-06-26,1824511
2015-06-27,986366
2015-06-28,751843
2015-06-29,1740376
2015-06-30,1777459
2015-07-01,1795051
2015-07-02,1780537
2015-07-03,1775645
2015-07-04,1117930
2015-07-05,762044
2015-07-06,1696480
2015-07-07,1703598
2015-07-08,1713224
2015-07-09,1683506
2015-07-10,1665605
